date,high,low,open,close,Volume
1478032200000,2720.0,2550.0,2702.0,2600.0,381972982
1478291400000,2659.0,2503.0,2600.0,2515.0,256424164
1478377800000,2531.0,2450.0,2531.0,2480.0,1018994507
1478464200000,2500.0,2400.0,2450.0,2469.0,1110760294
1478550600000,2645.0,2441.0,2469.0,2634.0,1709841637
1478637000000,2572.0,2402.0,2501.0,2416.0,612633728
1478896200000,2798.0,2529.0,2529.0,2797.0,1302849780
1478982600000,2797.0,2710.0,2797.0,2710.0,186738620
1479069000000,3100.0,2780.0,2780.0,2800.0,2542896976
1479155400000,2820.0,2620.0,2800.0,2620.0,1096996630
1481401800000,2991.0,2711.0,2990.0,2822.0,287858070
1481488200000,3000.0,2710.0,2899.0,2820.0,1419222926
1481574600000,3190.0,2810.0,2890.0,2810.0,925747679
1481661000000,2970.0,2700.0,2966.0,2725.0,653980546
1482006600000,2842.0,2700.0,2740.0,2710.0,396487800
1482093000000,2829.0,2700.0,2710.0,2700.0,343454060
1482179400000,2800.0,2600.0,2800.0,2650.0,549609598
1482265800000,2700.0,2570.0,2700.0,2604.0,307820327
1482525000000,2684.0,2526.0,2630.0,2650.0,470494113
1482611400000,2700.0,2610.0,2650.0,2610.0,830673200
1482697800000,2900.0,2602.0,2602.0,2895.0,1468101876
1482784200000,2920.0,2701.0,2894.0,2701.0,837863030
1482870600000,2950.0,2700.0,2770.0,2820.0,1021729708
1483129800000,2929.0,2700.0,2850.0,2810.0,1347378547
1483216200000,2910.0,2760.0,2910.0,2810.0,1007194680
1483302600000,2890.0,2711.0,2890.0,2711.0,666243390
1483389000000,2820.0,2700.0,2722.0,2700.0,825803270
1483475400000,2750.0,2650.0,2711.0,2650.0,602515765
1483734600000,2730.0,2475.0,2722.0,2530.0,2296994816
1483821000000,2480.0,1773.0,2300.0,1900.0,3103631329
1483907400000,2100.0,1850.0,1970.0,2090.0,1039758695
1484080200000,2200.0,2065.0,2100.0,2116.0,1170327740
1484339400000,2200.0,2100.0,2175.0,2100.0,352539600
1484425800000,2090.0,1852.0,1852.0,1933.0,542673693
1484512200000,1941.0,1802.0,1941.0,1920.0,1195031750
1484598600000,1910.0,1855.0,1855.0,1910.0,46925000
1484685000000,1900.0,1850.0,1880.0,1850.0,368103830
1484944200000,1870.0,1820.0,1870.0,1821.0,435672599
1485030600000,1890.0,1780.0,1850.0,1800.0,672862426
1485117000000,1960.0,1740.0,1750.0,1960.0,1475532200
1485203400000,2056.0,1906.0,2000.0,1990.0,840983028
1485289800000,2100.0,1965.0,2048.0,1965.0,351022375
1485549000000,2048.0,1961.0,2040.0,1965.0,371833360
1485635400000,1950.0,1921.0,1921.0,1950.0,129765517
1485721800000,1930.0,1900.0,1912.0,1900.0,284158463
1485808200000,1970.0,1850.0,1900.0,1880.0,276472660
1485894600000,1900.0,1900.0,1900.0,1900.0,55024000
1486153800000,1857.0,1823.0,1850.0,1823.0,499503713
1486240200000,1820.0,1812.0,1820.0,1812.0,210240166
1486326600000,1820.0,1792.0,1820.0,1792.0,246143962
1486413000000,1820.0,1752.0,1792.0,1760.0,460881325
1486499400000,1770.0,1752.0,1770.0,1752.0,197857123
1486758600000,1771.0,1771.0,1771.0,1771.0,53130000
1486845000000,1830.0,1780.0,1830.0,1780.0,73298000
1486931400000,1900.0,1803.0,1803.0,1887.0,145718777
1487017800000,1880.0,1823.0,1823.0,1823.0,162471131
1487104200000,1822.0,1770.0,1822.0,1780.0,494678711
1487363400000,1755.0,1750.0,1750.0,1753.0,344290615
1487449800000,1869.0,1775.0,1775.0,1849.0,101274000
1487536200000,1870.0,1770.0,1847.0,1770.0,401826940
1487622600000,1838.0,1730.0,1732.0,1838.0,266098884
