date,open,Volume
1508704200000,1350.0,1080000
1508877000000,1215.0,47819970
1509136200000,1280.0,7119908
1509222600000,1103.0,228030162
1509309000000,1380.0,63751286
1509481800000,1246.0,85357147
1509827400000,1200.0,19117624
1509913800000,1277.0,75964532
1510000200000,1277.0,609798151
1510086600000,1500.0,17253519107
1510345800000,1400.0,6508482864
1510432200000,1201.0,19047018987
1510518600000,1230.0,24325830748
1510605000000,1098.0,6925929024
1510691400000,1145.0,13403110317
1510950600000,1134.0,9902660599
1511123400000,1066.0,6756777415
1511209800000,1028.0,8323993542
1511296200000,985.0,12152557735
1511555400000,950.0,11129399863
1511641800000,957.0,2441123687
1511814600000,940.0,9345167006
1511901000000,910.0,15110223318
1512160200000,849.0,17149890368
1512246600000,811.0,17818227009
1512333000000,771.0,16161002387
1512419400000,720.0,15830405166
1512765000000,710.0,16044702225
1512851400000,680.0,16692927682
1512937800000,658.0,48865450184
1514147400000,770.0,4492300890
1514233800000,790.0,51567348715
1514320200000,851.0,19819568443
1514579400000,804.0,11346942607
1514665800000,756.0,16466592478
1514752200000,722.0,24979092926
1514838600000,770.0,57669083109
1514925000000,818.0,61398235573
1515184200000,890.0,65147439476
1515270600000,900.0,51081169881
1515357000000,846.0,22407728763
1515443400000,857.0,20951134474
1515529800000,864.0,25086317922
1515789000000,875.0,15248516571
1515875400000,861.0,13640981915
1515961800000,857.0,10390732341
1516048200000,845.0,10331357668
1516134600000,830.0,6622804875
1516393800000,840.0,8500790223
1516480200000,839.0,8864804308
1516566600000,801.0,9120620858
1516653000000,766.0,6314639388
1516739400000,790.0,4903598539
1516998600000,779.0,4443722133
1517085000000,761.0,5036133252
1517171400000,765.0,6876099912
1517257800000,756.0,3052764755
1517344200000,754.0,3999678542
1517603400000,729.0,3862630427
1517689800000,736.0,8039432591
1517776200000,760.0,7178683088
1517862600000,750.0,3359508149
1517949000000,733.0,2565219685
1518208200000,730.0,5299231386
1518381000000,752.0,5891158150
1518467400000,740.0,4108306183
1518553800000,734.0,4014936344
1518813000000,726.0,4283917327
1518899400000,721.0,3242125086
1518985800000,718.0,4261461746
1519158600000,719.0,4547245693
1519417800000,740.0,3343021062
1519504200000,733.0,2741435598
1519590600000,721.0,5478707043
1519677000000,720.0,1851200039
1519763400000,725.0,2309246851
1520022600000,723.0,7654843824
1520109000000,660.0,2535468370
1520195400000,680.0,5550994378
1520281800000,663.0,1639229615
1520368200000,645.0,4884042685
1520627400000,659.0,2181436570
1520713800000,669.0,3176811263
1521923400000,676.0,24674000
1522006200000,670.0,1363105309
1522092600000,650.0,6019374161
1522179000000,740.0,9553547524
1522697400000,730.0,3488715868
1522783800000,706.0,2870272820
1523043000000,680.0,1754420784
1523129400000,700.0,2090294867
1523215800000,683.0,2005492097
1523302200000,660.0,2128952311
1523388600000,670.0,4631522241
1523734200000,630.0,1752940450
1523820600000,630.0,1452369597
1523907000000,637.0,1567397452
1523993400000,612.0,1698483862
1524252600000,634.0,1315933422
1524339000000,625.0,1582989931
1524425400000,615.0,2035956986
1524511800000,593.0,1851518785
1524598200000,619.0,533546559
1524857400000,620.0,1866608218
1524943800000,575.0,1346997352
1525030200000,568.0,1268465130
1525116600000,578.0,791152948
1525462200000,593.0,516339810
1525548600000,575.0,2321655502
1525635000000,538.0,1011089421
1525721400000,543.0,1963691194
1525807800000,540.0,3238220199
1526067000000,530.0,917010991
1526153400000,538.0,3565129672
1526239800000,600.0,3204800593
1526326200000,581.0,2783467455
1526412600000,570.0,1728471425
1526671800000,557.0,1010469388
1526758200000,560.0,914788897
1526844600000,552.0,2153684203
1526931000000,557.0,1117972132
1527017400000,555.0,5018119974
1527276600000,600.0,2626400906
1527363000000,580.0,1397655791
1527449400000,574.0,3462697938
1527535800000,587.0,2168566729
1527622200000,593.0,1621628912
1527881400000,568.0,896335871
1527967800000,551.0,1473812504
1528486200000,564.0,1109171061
1528572600000,563.0,1745754720
1528659000000,552.0,2215662296
1528745400000,577.0,7019840276
1528831800000,616.0,14235697059
1529177400000,680.0,8662429723
1529263800000,737.0,17349376959
1529350200000,666.0,12841327758
1529436600000,708.0,8392290333
1529695800000,692.0,5067328799
1529782200000,670.0,7552538790
1529868600000,676.0,10078542940
1529955000000,662.0,2482613043
1530041400000,649.0,3703260681
1530300600000,612.0,1928300900
1530387000000,616.0,2560902843
1530473400000,627.0,3353070802
1530559800000,645.0,7854588428
1530646200000,668.0,4082991821
1530905400000,664.0,2621639355
1530991800000,653.0,2266193827
1531164600000,646.0,1478542008
1531251000000,605.0,5895728184
1531510200000,599.0,1559731109
1531596600000,600.0,1329725835
1531683000000,587.0,3286963656
1532892600000,623.0,4693120298
1532979000000,656.0,8171892111
1533065400000,684.0,7316249783
1533324600000,630.0,3625616414
1533411000000,611.0,6657260822
1533497400000,629.0,6210177756
1533583800000,640.0,6631789799
1533670200000,601.0,2545918220
1533929400000,604.0,2474250614
1534015800000,610.0,2651688620
1534102200000,600.0,3642053931
1534188600000,580.0,3073903981
1534275000000,599.0,3253039158
1534534200000,601.0,2690687458
1534620600000,590.0,4849113625
1534707000000,591.0,5324635647
1534793400000,610.0,8623597215
1535139000000,634.0,6909733555
1535225400000,646.0,9713685867
1535311800000,648.0,19044364280
1535398200000,722.0,11488988048
1535484600000,698.0,7547180860
1535743800000,685.0,5679214910
1535830200000,690.0,4476241580
1535916600000,673.0,6997338428
1536003000000,697.0,16745567756
1536089400000,798.0,28528023898
1536348600000,810.0,27566378210
1536435000000,840.0,31282026277
1536521400000,944.0,21212337382
1536607800000,1035.0,2612027904
1536953400000,1134.0,18419707051
1537039800000,982.0,35073493333
1537126200000,1055.0,28515182387
1537212600000,1065.0,20581092101
1537561800000,990.0,30247689478
1537648200000,1038.0,28693660999
1537734600000,1008.0,19488238130
1537821000000,1000.0,59099133285
1537907400000,1153.0,23575284478
1538166600000,1268.0,48322245322
1538253000000,1388.0,39891161696
1538425800000,1250.0,948698250
1538512200000,1023.0,54626965306
1538771400000,1152.0,49749587640
1538857800000,980.0,30655266937
1538944200000,900.0,32425491968
1539030600000,927.0,37163749654
1539117000000,974.0,28823348816
1539376200000,893.0,9629478970
1539462600000,766.0,13533220158
1539549000000,821.0,6954217378
1539635400000,958.0,26251217560
1539721800000,960.0,12457204651
1539981000000,970.0,13706939093
1540067400000,1040.0,21757727548
1540153800000,981.0,11775973279
1540240200000,946.0,19173054243
1540326600000,860.0,13019131764
1540585800000,794.0,6902751547
1540672200000,836.0,5495129316
1540758600000,896.0,8260374888
1540931400000,929.0,6648458179
1541190600000,868.0,4680464579
1541277000000,855.0,5669640428
1541363400000,831.0,5499426491
1541449800000,870.0,3412435149
1541795400000,873.0,4888369729
1541881800000,804.0,7005646901
1541968200000,825.0,6672066956
1542054600000,820.0,15495712994
1542141000000,859.0,6601292764
1542400200000,851.0,6313664525
1542486600000,840.0,8422679509
1542573000000,821.0,4093330088
1542659400000,854.0,4441823999
1542745800000,840.0,7277835450
1543005000000,847.0,4182940101
1543177800000,814.0,6211438945
1543264200000,791.0,7228894569
1543350600000,823.0,3994016320
1543609800000,797.0,13200095394
1543696200000,718.0,16690816769
1543782600000,769.0,5120294644
1543869000000,759.0,4673726861
1543955400000,720.0,7037938505
1544214600000,743.0,8541336810
1544301000000,725.0,4014878779
1544387400000,710.0,3762423661
1544560200000,711.0,4711921773
1544819400000,704.0,3322478247
1544905800000,708.0,5093422257
1544992200000,683.0,2847087558
1545078600000,671.0,4556389985
1545165000000,654.0,2401925675
1545424200000,631.0,2587851860
1545510600000,655.0,3519581061
1545597000000,696.0,3112738632
1545683400000,665.0,1456640727
1545769800000,647.0,4721502585
1546029000000,686.0,10962501410
1546115400000,765.0,18110496300
1546201800000,750.0,6408247848
1546288200000,710.0,8212900575
1546374600000,742.0,4497085275
1546633800000,720.0,3438361832
1546720200000,728.0,3740917504
1546806600000,702.0,4289004326
1546893000000,720.0,5157853914
1546979400000,730.0,19756413081
1547238600000,735.0,4878646722
1547325000000,742.0,4669506201
1547411400000,725.0,4183088344
1547497800000,733.0,3140319283
1547584200000,722.0,5738145190
1547843400000,721.0,9158772785
1547929800000,741.0,3566241209
1548016200000,731.0,4552515404
1548102600000,724.0,6644345828
1548189000000,749.0,2595824968
1548448200000,724.0,1956461217
1548534600000,719.0,2780729981
1548621000000,715.0,3106080400
1548707400000,715.0,4438183476
1548793800000,720.0,3255972849
1549053000000,704.0,2661125692
1549139400000,701.0,3036789707
1549225800000,700.0,2325963348
1549312200000,700.0,2059287525
1549398600000,690.0,4591012803
1549744200000,691.0,2360693343
1549917000000,695.0,2154360253
1550003400000,670.0,3554916276
1550262600000,675.0,2073465065
1550349000000,661.0,2465483193
1550435400000,630.0,2938720858
1550521800000,651.0,2150805050
1550608200000,645.0,3544353962
1550867400000,669.0,3788580064
1550953800000,668.0,958599305
1551040200000,666.0,1550311936
1551126600000,660.0,1439587197
1551213000000,652.0,2342145347
1551472200000,650.0,1576304823
1551558600000,652.0,1998520095
1551645000000,641.0,2342801690
1551731400000,642.0,1728072506
1551817800000,635.0,1821852483
1552077000000,634.0,2157179513
1552163400000,644.0,1511540021
1552249800000,633.0,10485447850
1552336200000,678.0,17814469479
1552422600000,750.0,21492035330
1552681800000,736.0,8221212494
1552768200000,704.0,5022963241
1552854600000,710.0,2512666613
1552941000000,718.0,10495174031
1553455800000,760.0,4591981392
1553542200000,755.0,5141554902
1553628600000,750.0,5293822600
1553887800000,745.0,8386058672
1553974200000,738.0,4985797713
1554492600000,745.0,7917379357
1554579000000,761.0,26020640370
1554665400000,824.0,16573734217
1554751800000,849.0,16997510404
1554838200000,852.0,17626938798
1555097400000,831.0,14284840018
1555183800000,819.0,8732536750
1555270200000,818.0,6945261811
1555356600000,822.0,7937371087
1555443000000,800.0,5832934214
1555702200000,801.0,5541773642
1555875000000,829.0,5653946448
1555961400000,800.0,4823774324
1556047800000,792.0,3355629090
1556307000000,801.0,6582100459
1556393400000,791.0,31856508210
1556479800000,920.0,36558215406
1556566200000,913.0,16215814663
1556652600000,894.0,15048371009
1556911800000,920.0,16296763624
1556998200000,984.0,49785233902
1557084600000,1059.0,31460109151
1557171000000,940.0,9667591750
1557257400000,859.0,14709924184
1557516600000,929.0,11704615228
1557603000000,885.0,11166242899
1557689400000,824.0,7812130766
1557775800000,881.0,7629731849
1557862200000,915.0,7658581011
1558121400000,857.0,5469689605
1558207800000,856.0,7777951547
1558294200000,840.0,4572758023
1558380600000,820.0,3505441073
1558467000000,849.0,4643480033
1558726200000,811.0,3409413220
1558812600000,840.0,3846703848
1558985400000,825.0,11231243974
1559071800000,889.0,5620921621
1559331000000,857.0,2821657822
1559417400000,840.0,22041014275
1559503800000,803.0,10437745142
1559935800000,759.0,7051996726
1560022200000,782.0,5053953881
1560108600000,820.0,8566684196
1560195000000,811.0,4341058510
1560281400000,825.0,11934346404
1560540600000,830.0,4067634392
1560627000000,830.0,7019985950
1560713400000,806.0,4515390800
1560799800000,808.0,5095855802
1560886200000,802.0,2903197998
1561145400000,810.0,2319126535
1561231800000,789.0,3139103283
1561318200000,802.0,6669092308
1561404600000,827.0,4460299747
1561491000000,800.0,5419743733
1561836600000,826.0,2483454764
1561923000000,811.0,33674731207
1562009400000,901.0,25178449800
1562095800000,910.0,11483866969
1562355000000,903.0,18989000345
1562441400000,902.0,8174592358
1562527800000,919.0,10952580619
1562614200000,935.0,40779675483
1562700600000,1080.0,62485337359
1562959800000,1139.0,56448555870
1563046200000,1239.0,41569312331
1563132600000,1109.0,37559997273
1563219000000,962.0,31468302813
1563305400000,940.0,16840646442
1563564600000,1130.0,32881515566
1563651000000,1185.0,31401255282
1563737400000,1196.0,50952837648
1563823800000,1180.0,21347772573
1563910200000,1118.0,14629844918
1564774200000,1180.0,556669720
1564860600000,1180.0,31315392469
1564947000000,1203.0,25263533468
1565033400000,1225.0,34895935006
1565119800000,1279.0,17500717983
1565379000000,1232.0,14305635915
1565465400000,1170.0,14387670535
1565638200000,1202.0,20077551217
1565724600000,1238.0,24725082911
1565983800000,1237.0,16469376923
1566070200000,1160.0,12106930707
1566156600000,1168.0,7520522346
1566329400000,1176.0,11662467024
1566588600000,1200.0,15408409938
1566675000000,1214.0,8895738682
1566761400000,1160.0,37712878905
1566847800000,1261.0,32372634678
1566934200000,1196.0,42567713030
1567193400000,1141.0,20783754036
1567279800000,1067.0,3643329368
1567366200000,1035.0,825382485
1567452600000,1004.0,13452791150
1567539000000,1005.0,11836480767
1568575800000,1050.0,2071700400
1568662200000,1031.0,1610673589
1568752200000,1029.0,218282799
1569011400000,1029.0,187688571
1569097800000,1029.0,466636065
1569184200000,1029.0,1153948280
1569270600000,969.0,2461647600
1569357000000,950.0,4584754750
1569616200000,931.0,1743060095
1569702600000,913.0,22322506090
1569789000000,938.0,12540096484
1569875400000,955.0,13685829246
1569961800000,913.0,6801413161
1570221000000,927.0,4347151067
1570307400000,879.0,2497601148
1570393800000,865.0,11791526511
1570480200000,879.0,4690771698
1570566600000,840.0,4373289870
1570825800000,855.0,9279153292
1570912200000,839.0,4806572281
1570998600000,820.0,3549521390
1571085000000,819.0,1488165912
1571171400000,782.0,5861871509
1571517000000,775.0,1409567980
1571603400000,759.0,3848544195
1571689800000,774.0,3423057158
1571776200000,760.0,1838970499
1572035400000,751.0,2789504086
1572208200000,779.0,2843715477
1572381000000,790.0,3224517799
1572640200000,820.0,4433394623
1572726600000,810.0,4389542676
1572813000000,804.0,3493043573
1572899400000,764.0,4784796925
1573245000000,775.0,4532440079
1573331400000,782.0,2635822439
1573417800000,778.0,2393647604
1573504200000,777.0,3464294343
1573590600000,765.0,2223992824
1573849800000,773.0,4441256564
1573936200000,756.0,1990251840
1574022600000,743.0,3232055084
1574109000000,761.0,1544314856
1574195400000,768.0,1451442059
1574454600000,780.0,2327776852
1574541000000,795.0,917104050
1574627400000,810.0,679476600
1574713800000,842.0,6038892172
1574800200000,835.0,4535339878
1575059400000,828.0,4226287840
1575145800000,813.0,4364880728
1575232200000,825.0,6856975443
1575318600000,834.0,3342817890
1575405000000,831.0,11437006012
1575664200000,852.0,3051484732
1575750600000,869.0,6513053703
1575837000000,884.0,8114110393
1575923400000,918.0,7333887241
1576009800000,888.0,6273717343
1576269000000,890.0,9704442791
1576355400000,870.0,6671728141
1576441800000,899.0,7099019561
1576528200000,915.0,5483790195
1576614600000,933.0,2145634095
1576873800000,970.0,1443128170
1576960200000,989.0,1667446088
1577046600000,1008.0,35334351296
1577133000000,1014.0,13681631461
1577219400000,1030.0,8587702666
1577478600000,1050.0,2265488400
1577565000000,1092.0,14309831324
1577651400000,1112.0,1944109600
1577737800000,1134.0,22498295036
1577824200000,1152.0,15258915407
