conversion_line,base_line,lagging_span,leading_line1,leading_line2
9166.66,9275.935,9226.65,9378.23,9336.5
9188.53,9259.74,9217.48,9360.73,9336.5
9202.895,9210.45,9219.5,9305.73,9315.0
9205.18,9189.45,9225.64,9305.23,9315.0
9205.18,9189.45,9205.11,9305.23,9315.0
9205.775,9189.45,9216.86,9305.23,9315.0
9208.045,9190.25,9220.21,9305.23,9315.0
9209.53,9190.25,9218.41,9305.23,9315.0
9210.75,9190.25,9234.03,9303.718,9315.0
9250.765,9221.24,9250.99,9295.62,9315.0
9261.74,9221.24,9268.56,9270.975,9315.0
9261.74,9221.24,9270.16,9262.295,9315.0
9263.425,9221.24,9272.47,9260.672,9315.0
9263.74,9221.24,9269.11,9258.705,9315.0
9263.74,9221.24,9270.51,9258.705,9315.0
9263.74,9221.24,9255.59,9235.705,9299.0
9264.865,9221.24,9255.92,9234.205,9297.5
9271.695,9222.77,9254.52,9234.205,9297.5
9276.205,9222.77,9262.12,9231.358,9297.5
9234.655,9235.43,9258.16,9230.118,9297.5
9234.655,9237.715,9245.28,9228.982,9297.5
9233.74,9237.715,9267.28,9228.528,9297.5
9228.905,9238.31,9210.0,9228.528,9297.5
9228.905,9239.035,9216.34,9227.595,9297.5
9228.905,9240.52,9215.69,9222.045,9297.5
9228.905,9241.74,9216.23,9221.298,9297.5
9224.115,9247.865,9216.83,9224.135,9297.5
9219.12,9247.865,9218.54,9206.672,9297.5
9224.395,9247.865,9220.28,9197.315,9297.5
9224.395,9247.865,9230.87,9197.315,9296.5
9224.395,9247.865,9260.6,9197.612,9296.5
9227.395,9247.865,9298.46,9199.148,9296.5
9227.67,9247.865,9302.75,9199.89,9296.5
9227.67,9247.865,9275.81,9200.5,9296.5
9235.035,9247.865,9284.56,9236.002,9296.5
9247.775,9238.765,9284.16,9241.49,9296.5
9247.775,9236.125,9271.99,9241.49,9296.5
9247.775,9236.125,9269.22,9242.332,9287.475
9247.775,9236.125,9284.97,9242.49,9282.895
9250.87,9236.125,9260.19,9242.49,9278.96
9252.18,9236.125,9270.01,9242.49,9278.96
9256.01,9236.125,9283.12,9243.052,9278.96
9262.305,9236.125,9284.2,9247.232,9278.96
9267.755,9236.125,9289.02,9249.488,9278.96
9264.1,9236.125,9309.04,9235.042,9278.96
9264.1,9244.5,9315.75,9236.185,9278.96
9264.1,9244.5,9316.94,9235.728,9278.96
9263.5,9263.5,9303.02,9233.607,9278.96
9263.5,9263.5,9290.38,9233.97,9278.96
9263.5,9263.5,9303.06,9234.712,9278.96
9263.5,9263.5,9316.3,9235.322,9278.96
9263.5,9263.5,9290.23,9235.99,9275.935
9263.5,9263.5,9235.07,9233.492,9259.74
9251.25,9251.25,9252.77,9236.13,9221.24
9251.25,9251.25,9252.61,9236.13,9221.24
9251.25,9251.25,9242.07,9236.13,9221.24
9242.25,9251.25,9242.62,9237.63,9221.24
9242.25,9251.25,9223.59,9237.768,9221.24
9242.25,9251.25,9238.56,9237.768,9221.24
9242.25,9251.25,9227.13,9241.45,9221.24
9242.25,9251.25,9217.11,9243.27,9221.24
9242.25,9251.25,9189.97,9241.95,9221.24
9269.915,9251.25,9188.15,9241.95,9221.24
9273.695,9251.25,9188.99,9241.95,9221.24
9285.775,9251.25,9181.01,9243.498,9221.24
9282.945,9251.25,9193.83,9244.152,9221.24
9282.945,9251.25,9199.51,9246.068,9221.24
9276.155,9251.25,9184.12,9249.215,9221.24
9274.555,9251.25,9232.95,9251.94,9222.77
9281.275,9251.25,9205.17,9250.112,9222.77
9294.185,9251.25,9201.81,9254.3,9235.43
9294.185,9251.25,9213.01,9254.3,9237.715
9294.185,9251.25,9219.21,9263.5,9251.475
9300.75,9250.66,9228.28,9263.5,9252.07
9303.995,9250.66,9248.23,9263.5,9252.795
9305.015,9250.66,9249.4,9263.5,9254.28
9305.015,9250.66,9268.92,9263.5,9255.5
9272.355,9250.66,9268.93,9263.5,9261.625
9272.355,9250.66,9241.36,9251.25,9251.25
9267.44,9272.355,9255.31,9251.25,9251.25
9265.395,9272.355,9255.85,9251.25,9251.25
9261.945,9272.355,9261.04,9246.75,9251.25
9261.945,9272.355,9251.46,9246.75,9251.25
9261.945,9272.355,9241.42,9246.75,9251.25
9258.595,9272.355,9234.85,9246.75,9251.25
9245.56,9272.355,9245.88,9246.75,9251.25
9211.425,9247.41,9244.4,9246.75,9251.25
9208.305,9247.41,9234.77,9260.582,9251.25
9201.805,9247.41,9231.21,9262.472,9251.25
9200.5,9247.41,9220.92,9268.512,9251.25
9198.86,9247.41,9225.99,9267.098,9251.25
9198.86,9247.41,9243.5,9267.098,9251.25
9198.86,9247.41,9219.27,9263.702,9251.25
9175.795,9228.41,9245.46,9262.902,9251.25
9177.5,9228.41,9229.15,9266.262,9251.25
9177.5,9228.41,9242.47,9272.717,9251.25
9177.5,9223.495,9204.98,9272.717,9251.25
9177.5,9221.45,9211.37,9272.717,9251.25
9177.5,9218.0,9206.84,9275.705,9251.25
9194.0,9218.0,9186.71,9277.328,9251.25
9194.0,9218.0,9185.46,9277.838,9251.25
9194.0,9214.65,9219.48,9277.838,9251.25
9229.28,9201.615,9231.78,9261.508,9251.25
