time,open,volume
1583791200000,7829.82,13368829.08
1583794800000,7875.13,19776197.6
1583798400000,7929.87,16694678.36
1583802000000,7937.3,17052610.59
1583805600000,7905.52,17228169.13
1583809200000,7855.56,13941704.65
1583812800000,7907.16,20007068.43
1583816400000,7929.13,19891107.63
1583820000000,7934.44,21734676.78
1583823600000,7918.13,26577651.91
1583827200000,7900.14,16725532.55
1583830800000,7904.21,19175891.25
1583834400000,7887.79,56158596.11
1583838000000,8036.91,44713961.46
1583841600000,8065.02,33059237.35
1583845200000,8133.82,41500443.6
1583848800000,8059.03,28228224.94
1583852400000,8040.88,80521263.05
1583856000000,7767.28,43201734.9
1583859600000,7843.55,33109682.95
1583863200000,7869.9,25210275.17
1583866800000,7865.51,26660079.87
1583870400000,7978.8,29585525.33
1583874000000,7990.11,18534645.1
1583877600000,7968.97,16861047.16
1583881200000,7961.85,23326345.17
1583884800000,7894.56,12275030.37
1583888400000,7940.48,16278741.94
1583892000000,7924.39,12003452.57
1583895600000,7898.3,14902430.23
1583899200000,7924.78,10741357.68
1583902800000,7902.26,20532550.23
1583906400000,7851.4,18788232.51
1583910000000,7823.99,19095420.09
1583913600000,7860.93,44911018.62
1583917200000,7824.44,21252327.85
1583920800000,7816.98,43381098.11
1583924400000,7837.86,15910703.07
1583928000000,7821.86,20082145.68
1583931600000,7840.86,21592536.9
1583935200000,7848.55,26862965.36
1583938800000,7796.06,32231405.63
1583942400000,7778.76,31549893
1583946000000,7766.45,54264842.32
1583949600000,7671.97,78241086.2
1583953200000,7792.61,31356177.31
1583956800000,7828.23,18652427.85
1583960400000,7860.29,14241180.49
1583964000000,7808.44,26590183.74
1583967600000,7948.4,18727959.62
1583971200000,7934.52,14050629.32
1583974800000,7913.42,36803137.27
1583978400000,7713.27,58903671.06
1583982000000,7644.97,29667263.71
1583985600000,7662.73,41363157.78
1583989200000,7624.3,17938150.56
1583992800000,7646.95,58011710.59
1583996400000,7494.17,59719237
1584000000000,7392.13,48603195.42
1584003600000,7377.64,26692226.86
1584007200000,7354.21,191633782.99
1584010800000,6014.9,161805832.82
1584014400000,6067.01,109638434.05
1584018000000,6028.1,88269074.13
1584021600000,5994.03,83506103.12
1584025200000,6094.19,47768616.76
1584028800000,6132.13,56240613.94
1584032400000,6088.59,51153306.28
1584036000000,6114.61,32731707.95
1584039600000,5985.61,24336589.77
1584043200000,6037.45,79252491.66
1584046800000,5743.43,60936760.47
1584050400000,5819.97,50226515.23
1584054000000,5802.7,199337895.46
1584057600000,4800,133691396.19
1584061200000,4654.72,107593294.48
1584064800000,4130.64,183428547.56
1584068400000,4848.71,127172220.94
