time,BUP,MA,BDOWN
1611154800000.0,36862.665,35440.57,34018.475
1611158400000.0,36733.761,35353.44,33973.119
1611162000000.0,36572.883,35273.328,33973.773
1611165600000.0,36344.48,35204.218,34063.956
1611169200000.0,36265.364,35169.5,34073.636
1611172800000.0,36065.777,35101.655,34137.533
1611176400000.0,35890.8,35041.036,34191.272
1611180000000.0,35688.042,34984.734,34281.426
1611183600000.0,35738.874,35005.021,34271.168
1611187200000.0,35743.997,35007.114,34270.231
1611190800000.0,35682.35,34972.489,34262.628
1611194400000.0,35655.75,34937.348,34218.946
1611198000000.0,35531.076,34882.046,34233.016
1611201600000.0,35465.964,34820.597,34175.23
1611205200000.0,35463.743,34808.641,34153.539
1611208800000.0,35462.86,34805.657,34148.454
1611212400000.0,35455.329,34815.562,34175.795
1611216000000.0,35681.113,34741.629,33802.145
1611219600000.0,35872.251,34637.617,33402.983
1611223200000.0,35993.734,34535.25,33076.766
1611226800000.0,36210.032,34436.073,32662.114
1611230400000.0,36288.152,34325.157,32362.162
1611234000000.0,36330.981,34197.88,32064.779
1611237600000.0,36440.597,33994.359,31548.121
1611241200000.0,36432.788,33803.708,31174.628
1611244800000.0,36434.176,33610.025,30785.874
1611248400000.0,36313.059,33460.999,30608.939
1611252000000.0,36159.632,33300.39,30441.148
1611255600000.0,35849.253,33150.412,30451.571
1611259200000.0,35543.18,32979.902,30416.624
1611262800000.0,35333.002,32802.153,30271.304
1611266400000.0,35143.246,32619.806,30096.366
1611270000000.0,34902.389,32433.758,29965.127
1611273600000.0,34825.142,32197.85,29570.558
1611277200000.0,34520.513,31973.129,29425.745
1611280800000.0,34057.224,31775.583,29493.942
1611284400000.0,33485.187,31591.54,29697.893
1611288000000.0,33230.443,31475.57,29720.697
1611291600000.0,33063.527,31421.7,29779.873
1611295200000.0,32869.883,31357.506,29845.129
1611298800000.0,32764.595,31289.198,29813.801
1611302400000.0,32619.297,31241.746,29864.195
1611306000000.0,32489.476,31197.253,29905.03
1611309600000.0,32502.363,31207.562,29912.761
1611313200000.0,32535.341,31223.901,29912.461
1611316800000.0,32564.429,31247.226,29930.023
1611320400000.0,32602.597,31258.698,29914.799
1611324000000.0,32736.066,31297.4,29858.734
1611327600000.0,32733.893,31296.889,29859.885
1611331200000.0,32814.063,31321.616,29829.169
1611334800000.0,32931.162,31376.593,29822.024
1611338400000.0,33238.473,31494.8,29751.127
1611342000000.0,33570.791,31631.77,29692.749
1611345600000.0,33679.121,31830.514,29981.907
1611349200000.0,33757.525,31991.6,30225.675
1611352800000.0,33797.14,32097.819,30398.498
1611356400000.0,33848.57,32197.908,30547.246
1611360000000.0,33841.692,32287.037,30732.382
1611363600000.0,33880.463,32332.328,30784.193
1611367200000.0,33874.022,32367.999,30861.976
1611370800000.0,33778.093,32444.127,31110.161
1611374400000.0,33763.261,32496.912,31230.563
1611378000000.0,33809.291,32593.713,31378.135
1611381600000.0,33749.739,32665.4,31581.061
1611385200000.0,33722.811,32726.415,31730.019
1611388800000.0,33636.319,32796.077,31955.835
1611392400000.0,33613.464,32811.665,32009.866
1611396000000.0,33620.887,32803.047,31985.207
1611399600000.0,33714.496,32762.4,31810.304
1611403200000.0,33791.303,32723.654,31656.005
1611406800000.0,33820.272,32700.45,31580.628
1611410400000.0,33786.64,32622.671,31458.702
1611414000000.0,33654.957,32537.05,31419.143
1611417600000.0,33506.454,32467.982,31429.51
1611421200000.0,33386.37,32415.436,31444.502
1611424800000.0,33338.756,32382.046,31425.336
1611428400000.0,33273.388,32352.227,31431.066
1611432000000.0,33235.866,32326.684,31417.502
1611435600000.0,33201.007,32308.557,31416.107
1611439200000.0,33197.617,32298.247,31398.877
1611442800000.0,33187.696,32283.897,31380.098
1611446400000.0,33158.185,32248.614,31339.043
1611450000000.0,32943.659,32174.276,31404.893
1611453600000.0,32848.361,32138.072,31427.783
1611457200000.0,32748.02,32115.516,31483.012
1611460800000.0,32708.585,32108.906,31509.227
1611464400000.0,32801.068,32129.828,31458.588
1611468000000.0,32870.41,32150.46,31430.51
1611471600000.0,32942.173,32208.243,31474.313
1611475200000.0,32959.915,32259.635,31559.355
1611478800000.0,32993.022,32298.455,31603.888
1611482400000.0,33008.648,32347.055,31685.462
1611486000000.0,33051.899,32394.868,31737.837
1611489600000.0,33052.194,32406.892,31761.59
1611493200000.0,33052.238,32406.302,31760.366
1611496800000.0,33056.674,32400.714,31744.754
1611500400000.0,33064.923,32381.127,31697.331
1611504000000.0,33095.084,32358.014,31620.944
1611507600000.0,33102.861,32333.382,31563.903
1611511200000.0,33113.606,32322.468,31531.33
1611514800000.0,33186.387,32283.882,31381.377
1611518400000.0,33198.638,32273.728,31348.818
1611522000000.0,33197.08,32276.008,31354.936
1611525600000.0,33197.534,32277.605,31357.676
1611529200000.0,33181.829,32266.597,31351.365
1611532800000.0,33147.412,32254.78,31362.148
1611536400000.0,33146.099,32254.43,31362.761
1611540000000.0,33147.936,32254.991,31362.046
1611543600000.0,33330.985,32293.342,31255.699
1611547200000.0,33463.933,32330.765,31197.597
1611550800000.0,33573.605,32365.243,31156.881
1611554400000.0,33704.574,32405.367,31106.16
1611558000000.0,33782.334,32431.046,31079.758
1611561600000.0,33906.666,32485.34,31064.014
1611565200000.0,33954.698,32522.931,31091.164
1611568800000.0,34013.275,32576.017,31138.759
1611572400000.0,34068.595,32637.428,31206.261
1611576000000.0,34276.238,32759.974,31243.71
1611579600000.0,34537.303,32894.619,31251.935
1611583200000.0,34728.674,33026.407,31324.14
1611586800000.0,34801.62,33184.008,31566.396
1611590400000.0,34784.455,33295.893,31807.331
1611594000000.0,34747.557,33389.638,32031.719
1611597600000.0,34698.822,33466.862,32234.902
1611601200000.0,34626.135,33524.444,32422.753
1611604800000.0,34582.083,33569.219,32556.355
1611608400000.0,34596.947,33561.874,32526.801
1611612000000.0,34635.732,33546.58,32457.428
1611615600000.0,34706.827,33480.881,32254.935
1611619200000.0,34737.692,33435.651,32133.61
1611622800000.0,34741.751,33407.037,32072.323
1611626400000.0,34764.432,33347.625,31930.818
1611630000000.0,34881.921,33256.21,31630.499
1611633600000.0,34895.583,33183.8,31472.017
1611637200000.0,34916.994,33137.961,31358.928
1611640800000.0,34965.293,33061.176,31157.059
1611644400000.0,34984.273,32984.094,30983.915
1611648000000.0,34844.509,32869.942,30895.375
1611651600000.0,34601.097,32732.956,30864.815
1611655200000.0,34320.814,32621.918,30923.022
