time,high,low,open,close,volume
1633554000000,55273.83,54880.05,54918.24,55075.37,89090648.53
1633557600000,55280,54893.02,55075.37,55144.72,83560728.61
1633561200000,55750,55119.08,55144.72,55315,160007546.98
1633564800000,55332.31,54500,55315,54794.88,180763793.8
1633568400000,54909.19,54112,54794.88,54787.3,152998569.41
1633572000000,55230.6,54680.92,54787.3,55075.56,106597577
1633575600000,55215.67,54730.86,55075.56,54810.94,84662538.91
1633579200000,55237.04,54756.06,54810.94,55073.2,79811351.76
1633582800000,55073.21,54545.07,55073.2,54735.76,123167067.89
1633586400000,54968.06,54375.83,54735.76,54534.16,97431201.89
1633590000000,54793.26,54235.33,54534.16,54755.92,226761136.48
1633593600000,54778.91,54400,54755.92,54538.3,111791710.77
1633597200000,54547.3,53786.13,54538.3,54300.57,226849483.71
1633600800000,54432.49,53811,54300.57,53906.62,135099616.03
1633604400000,54365.3,53884.44,53906.62,54305.54,106078341.02
1633608000000,54361.99,53630.01,54305.54,53983.13,142711994.74
1633611600000,54700,53782.44,53983.13,54567.84,138748109.75
1633615200000,54685.98,53357,54567.84,53789.59,247313990.04
1633618800000,54220.29,53659.11,53789.59,53899.99,123233815.71
1633622400000,54330,53400,53899.99,54154.72,184448983.68
1633626000000,54160.34,54103.04,54154.72,54130.34,2394175.46
