adx,DI_plus,DI_minus
18.06,15.6,24.12
18.13,14.87,23.0
18.0,14.95,21.88
19.95,13.84,24.86
22.15,13.1,25.46
24.52,12.17,24.89
24.66,15.4,23.15
23.96,18.68,22.07
22.43,17.69,21.35
20.06,19.69,19.76
18.66,18.91,18.98
17.92,20.58,18.15
16.94,20.73,17.14
15.17,19.44,20.21
14.27,18.17,21.66
13.36,17.24,20.55
12.26,18.55,19.85
10.32,18.58,19.1
8.83,17.33,21.68
7.17,16.87,21.11
7.11,15.84,23.38
8.17,15.07,24.15
8.44,17.33,22.57
8.65,21.85,20.56
8.85,21.11,19.86
9.16,19.51,24.13
9.55,18.39,24.82
10.34,18.26,23.75
9.83,21.2,21.92
9.33,20.26,20.94
9.41,19.18,21.01
9.58,18.76,20.21
10.35,16.96,26.52
12.44,14.29,33.71
14.35,12.47,33.62
15.22,14.99,31.35
16.98,14.11,31.26
19.65,12.92,30.41
22.31,12.2,28.71
25.88,9.91,40.36
29.15,8.99,36.63
32.82,7.97,36.96
38.02,6.47,44.02
42.35,9.64,41.63
45.37,13.88,38.26
48.44,13.13,36.18
50.91,11.55,41.6
52.06,10.67,38.43
53.06,9.76,38.98
55.6,7.98,46.71
57.95,7.21,42.17
60.13,6.63,38.78
62.73,5.8,44.3
63.9,5.15,39.39
63.46,10.56,35.82
62.74,10.03,34.02
60.58,12.41,32.04
59.81,11.48,35.92
60.42,10.44,36.25
61.24,9.53,36.12
61.83,8.34,39.05
62.42,7.49,35.05
63.02,6.88,36.64
61.3,11.69,32.17
59.58,11.24,30.94
58.31,10.49,34.23
55.83,12.7,31.19
52.38,16.3,29.29
50.13,17.3,27.67
47.25,19.66,26.08
45.14,18.53,24.9
42.77,17.19,24.97
40.28,16.43,24.81
37.19,17.6,23.82
33.31,18.53,22.86
28.88,20.56,21.78
24.21,22.33,21.04
21.34,22.63,19.88
18.43,21.48,19.03
14.83,20.51,19.43
12.27,18.88,21.38
10.67,18.05,20.43
9.72,17.14,20.81
10.79,15.05,27.35
12.29,13.76,29.02
13.23,14.34,27.57
13.14,17.46,25.7
13.09,18.42,24.59
13.06,19.17,23.49
14.15,18.15,26.14
15.59,17.04,27.36
16.56,16.99,25.51
17.99,15.19,25.85
19.68,14.37,24.68
21.81,12.93,27.48
23.94,12.18,25.87
25.65,12.06,24.31
24.74,16.03,22.26
23.36,15.22,21.13
22.57,14.52,22.01
21.68,18.01,20.6
21.3,22.19,18.52
21.23,21.3,17.78
20.27,20.05,18.28
18.94,19.08,17.4
18.07,19.02,16.23
16.44,18.37,17.24
15.16,19.39,16.36
13.61,20.4,15.32
12.03,19.43,14.71
10.72,19.24,14.1
10.76,19.26,13.71
11.93,24.5,12.45
13.08,25.59,11.85
15.49,26.17,11.13
18.51,31.09,9.99
21.81,31.91,9.2
25.42,30.42,8.78
29.4,33.15,8.21
33.14,31.99,7.92
36.52,30.21,9.94
39.35,28.88,10.13
41.06,26.84,12.01
43.08,28.2,11.47
45.28,29.23,10.79
47.78,31.35,9.92
49.31,31.38,9.38
49.73,29.62,11.93
49.92,28.13,11.23
49.45,27.88,10.62
47.81,25.95,13.29
46.81,29.32,12.21
46.11,33.77,11.1
45.65,34.38,10.27
45.7,31.86,10.29
45.93,30.08,9.71
46.78,29.01,9.65
47.61,30.29,9.08
48.12,28.4,8.69
45.64,24.84,17.55
43.01,22.84,16.14
41.48,23.4,15.22
40.49,25.76,14.17
39.33,24.2,13.42
38.56,22.61,14.59
36.38,20.66,16.68
33.34,19.66,16.8
29.97,17.71,20.33
27.23,16.78,21.71
23.73,19.24,20.08
20.39,20.33,19.0
16.56,18.93,19.04
12.87,18.66,18.14
12.29,17.43,20.92
12.82,15.72,26.0
13.07,14.72,24.35
13.53,13.11,27.51
15.22,11.12,35.4
17.91,9.36,36.55
21.38,8.76,34.2
25.33,7.69,34.08
29.35,7.2,31.88
33.09,6.68,31.71
36.09,11.46,29.59
38.14,14.12,27.47
40.41,13.58,26.41
41.63,17.15,24.92
41.9,18.04,23.37
42.06,16.29,28.23
42.35,15.15,27.41
41.88,14.45,26.14
40.79,13.15,28.63
39.21,12.56,27.33
36.51,16.41,25.36
32.64,19.26,23.08
28.52,19.89,22.18
23.9,21.19,20.97
20.89,20.0,20.82
19.41,18.04,22.67
17.93,17.09,21.47
17.96,16.08,23.54
17.79,17.92,22.12
16.71,16.68,21.13
15.68,15.93,21.26
15.22,14.83,23.4
14.44,14.25,24.34
13.27,15.18,23.04
13.93,13.73,25.93
15.86,12.68,26.95
17.4,14.66,25.48
19.74,13.38,26.74
21.41,15.08,25.36
22.38,14.5,24.12
23.69,13.7,25.3
24.67,12.94,25.44
26.67,12.24,27.59
29.06,11.37,30.1
31.73,10.24,32.19
34.01,9.69,32.65
35.1,11.97,28.94
36.75,10.56,26.89
37.03,12.22,25.23
36.58,12.6,23.27
36.78,11.78,21.74
36.7,11.14,21.7
35.45,16.47,19.32
33.86,17.36,18.3
31.92,16.51,17.41
29.79,16.03,16.9
27.46,15.25,17.19
24.41,15.43,16.24
22.06,21.84,14.96
19.34,20.29,14.63
16.42,18.46,18.22
13.36,17.58,17.35
11.27,18.22,16.33
9.6,17.51,15.42
8.72,15.73,22.37
7.67,15.06,21.42
7.94,15.7,19.9
8.6,15.04,19.06
9.3,21.69,16.87
10.3,22.65,16.19
11.4,23.73,15.4
12.53,22.39,15.42
11.66,20.51,17.98
12.45,27.93,15.94
14.36,26.89,15.35
14.87,24.24,20.74
15.03,22.99,19.68
14.58,21.2,21.23
14.09,19.21,23.74
13.6,18.47,22.82
13.14,19.66,21.89
12.57,21.97,20.32
11.96,21.12,19.53
11.51,22.94,18.66
11.17,24.52,17.53
11.29,24.57,16.36
12.84,27.05,15.12
12.74,25.61,15.11
12.18,24.24,16.33
12.53,22.96,17.8
12.33,21.44,19.36
13.15,22.11,17.55
14.1,25.9,15.92
15.52,27.55,14.69
17.32,26.03,13.88
18.5,24.26,16.03
19.68,22.87,15.11
19.83,20.54,16.02
19.52,19.61,15.29
19.24,20.22,14.6
17.94,18.74,15.29
17.91,23.54,14.04
17.75,22.01,15.54
16.94,20.18,20.72
17.58,18.32,24.33
17.77,17.19,22.83
16.6,18.63,21.68
15.09,17.57,21.16
14.53,15.65,24.83
15.09,14.25,25.44
15.45,14.32,24.13
16.88,13.57,26.55
19.24,11.8,31.48
21.62,10.83,31.97
24.24,11.15,30.77
24.58,14.99,27.94
25.51,13.78,25.69
27.41,13.47,23.91
29.55,11.86,30.56
31.86,11.02,30.12
34.99,9.98,31.04
37.99,9.14,28.44
39.45,10.37,26.1
40.03,11.72,25.12
41.68,10.5,30.28
43.41,9.11,32.9
43.25,12.32,31.1
42.4,13.4,29.49
41.63,13.22,28.05
42.18,12.4,27.55
43.04,11.56,28.4
44.05,11.11,27.29
42.38,16.23,24.71
40.55,15.3,23.29
39.05,14.03,26.31
37.9,13.31,27.8
37.51,12.43,27.46
37.32,12.5,25.16
36.52,11.61,25.44
34.59,13.33,24.55
33.01,15.09,23.21
33.58,12.72,33.89
34.79,11.47,37.27
36.22,10.27,38.61
37.36,9.42,35.42
38.99,8.21,38.72
41.93,8.62,36.61
45.43,7.54,42.3
48.24,6.9,38.67
50.31,7.6,34.89
52.22,6.98,32.17
54.16,7.39,30.35
54.28,12.06,27.46
54.95,11.36,25.88
56.82,10.48,29.39
57.72,9.48,35.74
57.43,11.32,32.89
57.54,9.91,39.08
57.82,8.77,37.3
56.84,11.07,34.43
55.76,11.78,32.55
53.46,14.08,30.94
50.33,16.57,28.18
47.25,17.48,26.8
44.94,15.86,30.82
42.98,14.55,29.11
42.31,15.18,27.93
41.82,14.35,27.98
40.33,15.46,26.62
38.17,14.59,25.83
36.08,16.04,23.82
32.84,17.27,23.02
29.05,18.49,22.04
26.43,17.42,23.44
24.14,16.75,22.54
21.78,22.22,20.33
20.71,24.08,19.32
20.22,24.52,18.43
18.71,23.43,18.81
16.37,21.59,21.34
14.51,20.38,21.85
12.74,19.25,22.37
11.64,17.96,22.43
10.73,16.57,22.46
10.42,15.89,21.55
10.04,17.07,20.44
9.88,20.75,18.23
9.42,20.12,17.01
8.77,19.17,17.16
8.67,18.37,17.26
8.2,16.95,18.47
7.85,16.3,19.66
8.86,14.57,24.34
10.68,13.77,23.43
11.57,15.44,21.28
12.17,14.9,20.54
12.01,16.13,19.28
11.21,16.74,18.1
10.21,16.97,17.36
10.15,15.97,18.83
9.88,17.11,18.03
9.75,16.33,18.61
10.3,15.1,19.71
10.74,15.22,18.36
11.41,14.67,19.33
12.19,13.82,20.81
11.84,13.23,19.91
10.7,15.15,18.57
9.74,16.61,17.44
9.48,20.73,16.21
9.95,21.37,15.63
10.32,19.89,16.6
10.7,18.93,16.64
11.05,20.21,15.55
11.69,19.56,15.48
11.79,18.78,16.03
11.9,20.89,15.52
11.9,18.35,22.19
11.65,17.47,21.45
11.4,16.3,22.78
11.32,15.27,22.46
12.75,13.78,25.74
14.74,13.03,24.34
16.03,12.66,23.65
18.55,10.87,33.34
21.54,10.04,30.81
23.85,12.76,28.92
24.43,16.88,25.97
25.04,16.31,24.59
24.61,21.47,22.25
23.62,21.05,20.64
23.24,21.2,19.54
24.24,27.28,16.64
25.0,26.97,15.43
25.36,25.93,15.86
25.09,25.72,14.96
24.47,23.82,15.35
23.86,22.75,14.66
20.55,20.35,18.59
17.09,19.14,18.2
14.96,20.79,17.41
15.94,30.12,14.53
17.5,32.94,13.4
20.6,32.75,12.36
23.52,31.06,12.76
24.61,27.27,18.41
24.27,25.39,17.14
23.24,23.73,18.33
22.07,22.46,19.23
20.36,21.24,22.31
20.58,17.89,29.64
21.13,16.18,29.66
22.91,15.31,28.08
25.42,13.52,29.8
27.37,12.97,27.72
27.47,12.17,26.02
27.96,10.95,31.97
28.26,10.04,29.68
28.41,10.9,27.95
30.67,9.99,30.79
33.13,9.25,30.82
35.45,11.01,29.25
38.3,10.15,28.69
40.45,13.59,26.64
41.21,12.68,26.58
42.16,11.64,29.04
43.15,10.72,27.07
43.97,9.65,28.22
44.56,10.11,26.32
44.43,11.73,24.05
43.06,12.52,23.16
41.32,13.11,21.91
39.82,13.18,20.99
38.14,12.36,21.76
36.27,11.74,20.68
33.73,15.33,18.68
30.53,16.69,17.66
29.62,15.38,22.94
28.5,14.47,21.58
27.22,13.6,22.62
26.25,13.02,23.99
24.5,13.6,22.47
23.37,12.67,22.83
22.98,12.06,21.93
22.35,13.69,20.95
22.86,12.61,24.56
24.14,11.73,27.89
24.7,12.7,26.69
25.99,11.05,29.52
28.83,10.28,30.53
31.6,11.33,27.5
34.23,9.7,34.84
36.85,8.58,30.82
37.72,13.05,28.42
38.39,12.03,27.4
40.06,10.76,30.63
40.64,12.61,27.22
39.65,18.04,24.54
39.06,17.38,22.44
38.26,16.2,24.75
37.15,15.21,25.53
36.73,13.95,25.67
35.17,15.03,24.34
32.68,17.32,23.32
30.14,19.35,21.87
26.42,18.92,20.67
22.48,19.62,19.12
20.08,19.7,18.41
17.9,18.61,22.09
15.22,17.99,22.22
13.69,16.66,22.66
13.45,16.76,21.26
13.35,16.12,20.24
12.37,16.62,19.2
10.75,16.78,17.69
9.19,19.35,16.58
8.17,18.79,15.55
8.31,19.77,14.14
9.17,19.63,13.58
10.54,20.46,12.66
12.29,20.69,12.2
14.2,21.28,11.42
16.45,24.28,10.41
18.85,25.61,9.93
21.32,26.86,9.0
24.61,29.96,7.96
27.95,27.72,7.37
31.58,26.29,6.98
34.47,24.36,9.69
34.73,21.13,16.8
34.88,20.07,15.96
33.88,18.58,19.62
33.59,17.09,22.73
35.37,41.96,14.58
37.61,41.73,11.34
39.55,37.24,10.12
40.79,35.42,9.61
42.01,36.6,8.8
43.08,37.19,7.96
42.72,32.84,10.09
42.36,31.23,9.6
40.64,28.04,13.8
39.66,26.6,14.54
39.74,24.41,19.0
39.14,21.85,23.22
39.16,20.47,21.75
38.37,19.63,20.86
35.27,21.56,19.5
31.41,20.34,21.7
27.33,20.9,20.83
23.54,19.58,21.32
19.75,18.61,21.89
16.54,17.21,25.68
14.16,16.47,24.57
11.33,17.79,23.23
9.88,16.92,22.35
8.27,18.42,21.1
7.64,18.79,20.21
7.59,18.42,19.29
7.54,17.68,18.52
8.01,16.56,20.14
8.49,16.0,20.25
8.3,19.33,19.12
8.41,19.11,18.47
8.39,19.24,17.75
8.43,17.98,21.34
7.57,17.66,20.66
6.6,17.83,20.17
6.24,17.17,20.24
5.73,17.02,19.46
5.29,18.24,18.0
5.31,18.87,17.44
5.62,18.05,20.62
6.53,17.04,23.04
6.9,16.42,22.2
7.61,15.34,23.8
9.16,14.61,23.0
10.38,15.08,22.03
11.66,14.34,22.45
12.84,13.8,23.02
14.31,13.06,23.43
16.17,12.13,23.65
17.96,11.31,22.61
20.0,10.48,21.83
22.29,10.57,20.87
22.71,15.18,18.49
22.94,14.27,17.38
23.33,13.45,20.37
25.15,11.85,27.89
26.49,11.05,26.0
28.28,9.83,27.59
30.37,9.01,25.62
31.92,9.37,23.95
33.24,8.88,22.53
34.31,8.44,21.41
34.28,10.32,19.94
33.51,12.09,19.09
33.85,10.83,25.3
32.89,14.89,21.99
32.82,17.04,20.39
32.76,16.39,19.61
31.48,17.41,18.33
28.78,16.4,17.26
27.03,20.56,14.92
24.78,19.34,14.04
23.64,24.4,12.56
23.13,25.67,11.9
21.87,24.06,14.2
20.39,22.71,14.33
18.78,20.4,16.91
17.85,19.43,16.11
14.99,18.33,18.3
14.18,17.24,20.19
14.16,16.23,19.33
14.13,20.89,17.62
14.55,19.89,16.78
15.07,19.45,15.97
14.64,18.63,15.3
13.67,17.86,17.05
11.43,17.15,16.91
9.01,16.31,17.25
8.11,20.13,15.45
7.43,19.28,14.8
7.91,19.49,14.09
8.19,18.88,14.5
9.84,21.61,13.45
11.28,22.65,12.75
13.15,24.75,11.94
15.2,24.96,11.43
17.79,27.09,10.32
21.52,37.55,8.8
25.25,34.68,8.13
28.34,31.31,11.73
31.26,29.19,12.03
34.32,30.1,11.22
35.3,27.55,15.9
36.64,28.28,14.57
37.82,26.21,13.33
39.21,25.16,12.8
40.37,27.36,11.86
41.89,31.46,10.7
43.14,32.01,10.02
44.22,30.48,9.54
44.63,29.21,9.57
43.55,28.17,10.2
43.18,32.38,8.92
44.11,31.6,8.27
45.2,30.16,8.28
46.42,32.86,7.54
49.29,35.77,7.05
51.68,34.1,7.12
54.12,33.77,6.74
55.65,31.89,9.53
54.57,28.73,17.46
52.41,26.48,18.03
50.04,25.01,16.99
48.08,26.59,15.99
46.41,25.8,14.74
45.73,28.67,13.08
44.41,27.61,12.32
43.22,28.4,11.63
42.6,30.47,10.63
41.57,29.3,10.22
39.26,27.02,13.09
37.07,25.57,12.39
34.21,23.85,13.8
32.95,27.53,12.83
33.97,27.74,12.26
35.65,28.43,11.47
38.02,33.54,10.54
40.17,33.81,9.82
40.78,30.12,14.22
40.18,27.19,14.96
39.39,25.31,14.47
38.62,25.65,13.5
37.88,27.12,12.19
37.15,25.6,11.51
34.88,20.14,18.95
32.99,17.86,21.04
31.26,18.67,19.6
28.84,19.09,18.15
26.55,17.42,19.92
23.99,16.53,18.9
22.01,14.5,23.9
20.53,13.19,26.95
20.35,12.59,25.16
20.42,13.1,24.31
19.62,16.2,22.44
18.36,16.12,21.07
15.88,18.72,20.01
13.55,17.74,19.74
14.43,16.17,22.07
15.19,15.11,22.1
16.45,14.3,21.49
18.15,13.04,22.33
19.55,12.36,21.17
19.68,16.73,19.87
18.27,17.34,19.07
16.63,16.52,20.72
14.28,19.18,19.0
12.36,19.2,18.09
11.6,19.12,17.09
10.77,17.67,18.25
10.68,16.57,17.27
10.39,16.88,16.45
10.51,21.21,15.03
10.72,21.68,13.92
10.87,20.78,13.23
10.25,19.54,13.72
8.85,18.12,15.82
8.72,17.53,15.31
9.2,15.96,20.1
9.44,14.92,19.99
10.04,15.95,19.07
10.02,17.33,18.28
9.63,17.27,17.35
10.53,21.02,15.82
12.66,27.56,14.22
15.78,31.26,11.88
17.83,28.21,10.46
19.73,28.2,9.82
20.64,26.5,12.77
20.85,24.29,16.06
22.23,25.7,15.07
23.66,24.95,14.39
25.14,26.48,13.59
26.74,27.42,12.65
28.9,26.97,11.79
32.18,31.83,10.99
35.09,29.16,12.22
37.01,27.7,11.61
38.12,30.48,10.87
38.66,31.42,9.77
39.24,30.58,9.13
38.49,28.46,12.86
38.31,26.89,13.72
38.79,25.06,14.37
37.73,22.94,18.29
36.78,23.22,17.7
35.92,24.36,16.17
33.91,20.97,24.99
32.35,18.56,26.34
30.46,16.16,25.32
29.36,15.23,25.75
27.98,15.85,24.57
27.1,14.12,29.39
25.85,13.25,27.56
24.47,12.67,26.15
23.12,16.39,23.99
21.1,20.69,22.5
19.23,21.8,21.39
18.74,20.34,22.21
18.8,18.82,25.09
18.78,17.11,25.65
19.84,15.59,25.16
20.63,14.57,26.18
21.89,13.17,30.53
23.16,11.83,30.03
24.73,11.12,28.22
24.91,12.04,26.58
24.78,12.58,25.1
25.13,11.36,26.33
26.18,12.7,25.44
27.66,14.25,23.75
28.68,16.68,22.67
29.58,15.67,22.12
30.22,14.72,23.58
30.95,13.77,25.68
31.69,12.86,26.06
31.48,14.1,23.77
29.9,15.74,22.45
27.07,19.14,20.68
24.07,19.9,19.3
21.49,19.08,18.51
19.41,17.86,19.37
16.62,17.56,17.81
14.32,17.76,17.32
16.96,45.47,10.69
20.92,47.91,8.23
24.75,43.3,7.44
28.18,41.43,6.98
30.53,37.67,8.52
31.65,35.17,11.88
33.36,32.95,11.13
35.65,31.68,10.7
39.6,37.28,9.55
43.93,38.13,8.9
48.36,37.66,8.38
53.24,44.11,7.1
58.53,45.11,6.49
63.09,42.16,8.93
62.9,39.86,10.18
62.25,39.19,9.31
61.66,38.26,8.86
61.17,38.54,8.37
61.59,40.7,7.46
62.98,38.51,7.06
63.05,35.06,11.55
62.14,32.28,14.9
59.92,30.02,16.85
57.56,28.46,15.61
54.43,25.34,16.98
50.45,22.97,16.47
46.55,23.8,15.77
43.72,25.13,14.94
40.86,23.28,15.77
37.83,22.07,14.95
35.26,23.64,13.76
32.56,22.74,13.23
29.74,22.89,12.45
26.92,22.1,12.02
24.37,20.78,15.46
22.37,19.73,16.51
20.74,18.44,16.57
18.92,17.63,16.43
18.19,19.01,15.69
17.48,18.06,15.81
16.53,16.95,19.48
15.01,16.99,18.48
13.75,18.16,17.59
13.0,19.92,16.73
11.47,18.85,17.1
10.03,18.58,16.37
9.09,20.83,14.98
7.87,20.0,15.57
8.68,16.42,27.99
9.9,15.48,26.39
11.93,13.93,28.08
14.97,12.27,33.29
17.58,11.21,30.41
20.05,12.02,28.88
22.23,12.62,27.76
24.87,11.79,28.28
27.75,10.96,26.71
30.16,10.33,25.56
32.37,11.69,24.8
34.61,11.11,24.56
36.92,10.07,29.13
39.51,9.57,27.69
40.74,10.43,26.34
41.19,12.81,25.1
41.24,12.16,24.9
39.85,13.57,23.49
38.56,12.76,22.69
36.38,16.82,20.84
34.35,22.56,18.78
32.33,22.71,17.54
30.38,22.22,16.56
30.39,34.2,13.8
30.86,31.6,12.75
31.27,30.64,12.06
30.38,28.04,13.15
28.6,26.13,16.13
27.59,27.57,15.12
27.4,26.61,14.39
27.74,28.15,12.35
27.69,26.2,15.37
27.94,27.39,14.25
29.83,29.58,13.58
32.53,33.79,12.2
34.86,31.43,11.76
37.07,29.43,11.01
36.45,27.78,13.78
34.94,26.08,16.87
33.37,25.09,16.23
31.75,23.36,17.8
31.02,22.12,16.86
30.24,22.95,15.88
29.3,22.11,15.82
28.17,24.33,15.16
28.36,25.46,14.07
28.17,23.83,13.17
27.84,24.5,12.49
25.14,20.49,24.63
22.54,19.26,23.14
19.91,25.07,21.06
18.12,24.01,20.17
16.84,22.01,23.62
15.56,21.22,22.77
14.68,22.12,21.6
14.57,25.82,20.31
14.12,24.94,19.61
12.97,23.07,22.83
11.35,22.1,21.88
9.71,23.51,20.93
8.32,23.99,19.88
7.02,25.1,18.83
7.17,24.11,19.23
6.87,22.55,20.41
6.61,21.33,19.31
6.67,19.27,23.37
7.76,17.3,25.3
8.68,17.08,23.79
10.43,15.86,26.8
11.98,14.51,29.25
12.97,15.32,25.99
14.78,14.31,24.27
16.59,13.58,23.03
17.31,15.9,21.91
17.51,16.08,20.53
17.63,15.2,20.96
17.96,14.67,20.22
18.54,14.78,19.24
19.26,14.17,19.18
18.77,18.45,17.45
17.63,17.44,16.49
16.71,17.0,15.83
16.17,20.72,14.39
15.13,19.84,13.46
14.66,18.91,12.83
13.85,18.13,13.52
13.46,19.19,12.68
15.98,32.04,10.36
19.21,34.09,9.23
22.17,31.76,8.6
24.67,29.34,9.53
27.57,29.36,8.86
30.5,29.91,8.43
33.56,28.44,10.62
37.26,33.01,9.68
39.54,29.0,13.81
40.51,26.89,13.98
40.48,24.29,16.63
40.67,23.99,15.39
41.23,22.85,14.48
40.86,21.72,15.97
38.5,21.78,15.12
35.85,21.69,14.37
33.33,21.6,13.82
31.73,23.04,12.77
29.29,21.32,14.36
26.44,19.75,14.29
23.9,17.14,21.02
23.39,12.82,36.02
24.25,11.93,33.51
25.68,10.86,33.92
28.02,10.24,31.99
29.78,11.15,30.56
30.76,13.45,28.71
31.51,15.87,26.83
32.05,15.02,25.4
32.06,15.8,23.88
31.68,16.32,22.89
31.13,15.2,23.26
30.87,16.14,22.19
31.4,14.94,24.12
32.35,14.17,22.88
29.26,19.54,21.26
26.04,21.27,20.29
22.4,20.37,20.11
18.87,19.95,19.16
15.82,19.81,18.33
13.76,18.24,21.13
13.36,16.7,25.06
12.69,16.64,23.16
13.66,14.79,29.98
14.01,17.73,27.51
13.26,20.94,25.82
13.03,28.68,22.29
12.68,29.32,20.11
12.14,27.66,20.03
12.22,25.64,23.04
12.51,24.31,21.39
12.95,23.37,20.39
13.33,22.48,19.43
13.25,21.03,19.87
12.83,20.02,19.5
13.83,30.87,15.17
15.1,28.04,13.78
14.74,26.03,14.34
15.33,25.09,13.54
14.97,22.27,19.99
14.46,21.24,19.06
13.41,19.37,20.91
12.34,19.56,19.99
12.33,18.4,20.42
12.2,17.81,19.5
12.11,20.37,18.21
12.19,20.76,17.54
13.08,22.52,16.55
13.87,21.37,16.65
13.62,28.07,14.9
13.29,26.5,14.46
13.59,26.26,13.17
13.82,24.86,12.47
16.88,31.84,11.13
20.42,34.29,9.97
24.1,32.35,9.3
28.25,33.9,8.67
32.11,31.8,8.13
36.07,30.58,7.66
38.98,28.25,10.35
41.05,26.27,12.0
42.68,25.4,11.37
44.94,27.26,10.59
45.36,25.41,11.83
45.87,24.46,11.38
46.56,26.96,10.79
47.91,30.55,9.62
48.33,30.24,9.02
48.33,29.08,8.44
47.89,27.53,9.39
47.18,26.19,8.87
46.64,26.43,8.44
45.75,25.31,9.01
45.48,24.07,9.69
45.95,23.48,9.15
45.45,22.11,11.59
44.76,22.83,11.17
44.04,21.7,12.64
41.6,19.5,18.62
38.9,19.01,17.14
35.32,17.99,17.29
31.94,18.54,16.23
28.59,17.12,20.14
26.18,15.55,21.23
22.68,19.06,19.22
