adx,DI_plus,DI_minus
15.26,0.29,0.3
14.61,0.27,0.36
15.27,0.25,0.34
15.92,0.24,0.4
16.61,0.26,0.37
17.43,0.24,0.38
18.57,0.23,0.35
18.44,0.21,0.33
18.78,0.19,0.38
19.93,0.18,0.41
21.41,0.17,0.47
23.52,0.16,0.46
24.01,0.28,0.43
24.2,0.3,0.4
25.14,0.28,0.37
24.27,0.33,0.34
23.66,0.31,0.34
22.25,0.35,0.32
21.99,0.39,0.29
21.43,0.36,0.27
21.16,0.37,0.25
20.9,0.34,0.23
19.68,0.31,0.23
17.6,0.29,0.24
15.19,0.29,0.22
12.66,0.27,0.21
11.61,0.25,0.28
11.07,0.23,0.26
10.58,0.22,0.25
11.29,0.2,0.25
11.23,0.22,0.24
11.07,0.23,0.22
10.51,0.23,0.2
9.55,0.21,0.22
9.69,0.2,0.3
9.16,0.22,0.28
8.53,0.22,0.26
8.07,0.26,0.24
7.2,0.24,0.23
6.36,0.22,0.21
6.6,0.2,0.25
6.48,0.25,0.23
6.37,0.23,0.21
5.56,0.22,0.22
5.97,0.2,0.25
7.09,0.19,0.27
8.02,0.17,0.25
10.42,0.16,0.33
11.45,0.15,0.31
13.64,0.14,0.34
16.35,0.13,0.34
19.41,0.12,0.33
21.01,0.19,0.31
21.87,0.22,0.29
22.18,0.2,0.27
22.86,0.19,0.25
22.84,0.21,0.23
23.8,0.19,0.26
23.57,0.27,0.24
23.08,0.28,0.22
23.27,0.32,0.2
22.02,0.29,0.21
20.32,0.27,0.22
18.01,0.25,0.21
15.06,0.23,0.22
12.72,0.27,0.2
11.47,0.25,0.22
10.7,0.23,0.22
10.37,0.24,0.2
11.2,0.31,0.19
12.38,0.29,0.19
11.69,0.27,0.25
11.47,0.25,0.23
10.66,0.23,0.23
9.59,0.25,0.22
9.22,0.26,0.2
9.12,0.24,0.2
9.54,0.25,0.18
10.63,0.25,0.17
11.29,0.25,0.16
12.48,0.23,0.15
13.07,0.22,0.17
12.76,0.2,0.18
11.1,0.19,0.19
